p=<26512,35723,6975>, v=<-3,-33,11>, a=<-1,0,0>
p=<-6458,47837,3318>, v=<40,-15,-6>, a=<1,-1,-2>
p=<-39424,26239,15983>, v=<-33,23,-36>, a=<3,-4,2>
p=<35018,-20766,27519>, v=<33,-9,21>, a=<1,-4,2>
p=<-1652,-46015,36826>, v=<26,25,41>, a=<0,2,1>
p=<-34439,-40639,18025>, v=<-32,-30,-14>, a=<0,-1,4>
p=<-43315,-44670,24553>, v=<2,-21,-6>, a=<-2,-5,-3>
p=<36611,-17312,-23049>, v=<5,32,17>, a=<1,4,0>
p=<41053,-20831,-22614>, v=<4,33,-1>, a=<-3,0,-3>
p=<15732,26857,-41656>, v=<-28,2,18>, a=<-1,-1,-2>
p=<-34295,-28954,-19780>, v=<-50,9,-47>, a=<-1,3,-5>
p=<32288,-38874,13594>, v=<44,-38,27>, a=<-3,4,-2>
p=<-46824,-41634,-12360>, v=<-14,-7,-10>, a=<2,0,0>
p=<-5480,-41674,38279>, v=<-2,39,9>, a=<4,-1,-3>
p=<-9491,-23493,30334>, v=<40,-24,7>, a=<0,-5,0>
p=<-18472,10739,3092>, v=<25,0,-24>, a=<-1,-2,-1>
p=<-47523,27611,31767>, v=<-34,2,-15>, a=<-5,-1,-5>
p=<21293,-40638,-17291>, v=<-40,25,-19>, a=<-2,4,0>
p=<-34330,4996,16672>, v=<40,-13,-22>, a=<4,-1,3>
p=<-42892,1934,19001>, v=<12,-14,49>, a=<1,2,-2>
p=<36901,-738,47021>, v=<35,-24,-31>, a=<0,3,-2>
p=<-10380,10075,-23013>, v=<21,24,-31>, a=<-2,-1,-5>
p=<5490,29515,-9245>, v=<-8,-44,35>, a=<-5,4,3>
p=<-44419,-35569,-24349>, v=<39,-40,-18>, a=<1,-3,-2>
p=<4317,40902,-20827>, v=<-6,41,-7>, a=<1,-2,1>
p=<-36848,-48333,19556>, v=<26,-31,-22>, a=<-4,2,4>
p=<-29902,43365,-25285>, v=<44,28,-45>, a=<2,-1,3>
p=<42546,2683,-29280>, v=<47,-46,-37>, a=<2,-2,2>
p=<46591,-17029,38120>, v=<26,-23,8>, a=<-1,-1,1>
p=<35910,24008,39690>, v=<-20,-8,33>, a=<4,-2,1>
p=<-20983,-20770,-7813>, v=<21,49,4>, a=<1,0,2>
p=<7952,29812,-16648>, v=<-13,2,25>, a=<4,-5,2>
p=<39803,43589,15544>, v=<27,-29,2>, a=<2,0,-5>
p=<49888,646,-34044>, v=<35,-12,-50>, a=<4,-1,-2>
p=<38719,5532,-28526>, v=<4,-40,13>, a=<3,-2,1>
p=<-2991,49652,26099>, v=<10,26,-14>, a=<-5,2,1>
p=<-23757,-34322,15208>, v=<5,22,11>, a=<0,2,-4>
p=<-42803,26115,17386>, v=<9,-4,19>, a=<0,1,1>
p=<-27759,-39644,-39392>, v=<32,-44,1>, a=<3,1,2>
p=<-5665,5412,-7610>, v=<30,-8,26>, a=<-1,-2,1>
p=<-30041,5739,27600>, v=<24,-5,29>, a=<0,-4,1>
p=<36602,-11915,752>, v=<49,46,34>, a=<1,-3,3>
p=<-20121,-30108,-37984>, v=<-28,-1,30>, a=<-1,1,3>
p=<45211,23400,-9660>, v=<13,-27,-10>, a=<-1,-2,-3>
p=<28252,-34679,22111>, v=<-20,22,13>, a=<-1,0,-1>
p=<-12735,-36169,-15937>, v=<-42,-41,1>, a=<4,1,-3>
p=<22943,-13078,4027>, v=<-47,-23,7>, a=<-1,-1,3>
p=<7429,35886,-12532>, v=<17,27,-1>, a=<2,1,-3>
p=<44378,8331,7106>, v=<36,47,-40>, a=<-3,3,-1>
p=<31498,-11480,-13179>, v=<-10,7,-12>, a=<0,-1,-5>
p=<-23504,-25455,-23713>, v=<-45,-37,-46>, a=<-1,4,0>
p=<-36272,-38034,-23329>, v=<-37,-50,-37>, a=<4,3,0>
p=<39250,4174,-42343>, v=<-15,2,-48>, a=<-4,1,-3>
p=<46691,-42369,-17665>, v=<-5,-32,12>, a=<-2,-5,-3>
p=<-20839,27839,-12526>, v=<47,-42,4>, a=<-2,4,-1>
p=<27607,20048,-20117>, v=<-41,12,41>, a=<1,-2,-3>
p=<44930,-41880,4667>, v=<38,24,46>, a=<-5,-3,2>
p=<-44289,12538,44785>, v=<26,-19,-17>, a=<-2,-3,1>
p=<37407,45322,2887>, v=<-39,18,-23>, a=<-4,-3,2>
p=<-44656,-18814,-45406>, v=<-1,14,6>, a=<-2,-5,2>
p=<35844,5980,48934>, v=<-6,44,-31>, a=<-2,-3,0>
p=<-22452,381,-43618>, v=<25,6,43>, a=<-4,1,4>
p=<-32237,-6839,-41137>, v=<47,5,-2>, a=<3,-2,-3>
p=<-22853,40535,-20643>, v=<-39,23,-44>, a=<2,0,-1>
p=<-29396,-3540,48107>, v=<45,-21,-16>, a=<-2,4,4>
p=<-8486,-13621,21187>, v=<-26,-33,49>, a=<4,2,-1>
p=<-4338,-44387,29644>, v=<-5,-47,30>, a=<-2,0,4>
p=<-28858,43485,14333>, v=<27,4,-26>, a=<2,0,-3>
p=<-40321,17651,2783>, v=<44,-20,-17>, a=<0,-3,1>
p=<-34596,1153,36973>, v=<7,-26,34>, a=<-1,-1,-5>
p=<34340,23877,-25861>, v=<15,4,18>, a=<1,0,0>
p=<7644,49327,38031>, v=<-48,13,36>, a=<-5,0,3>
p=<38516,-28745,-37079>, v=<-47,16,2>, a=<-4,-2,-5>
p=<-39549,-41203,-11336>, v=<-12,41,-46>, a=<3,4,-5>
p=<-44608,16733,47221>, v=<21,-41,5>, a=<-2,-2,3>
p=<-10861,-41714,43789>, v=<-21,33,1>, a=<1,-2,-2>
p=<-45940,-43191,-3304>, v=<-33,-21,-4>, a=<-1,3,-2>
p=<-20249,45913,-45272>, v=<23,-48,34>, a=<1,0,-2>
p=<45708,27803,-42349>, v=<33,-12,22>, a=<2,-3,-2>
p=<-15190,43790,-15466>, v=<23,16,1>, a=<0,-4,-3>
p=<-20245,34277,25006>, v=<21,48,21>, a=<0,-5,-5>
p=<-36900,-45113,-34840>, v=<-42,-12,-25>, a=<1,-2,-4>
p=<1770,41128,44308>, v=<-34,19,-4>, a=<1,3,-2>
p=<-9377,-287,-33921>, v=<15,-13,2>, a=<4,0,-3>
p=<10009,16590,-30121>, v=<19,35,14>, a=<1,-2,-4>
p=<-8316,5210,28680>, v=<-17,-1,14>, a=<-4,0,0>
p=<-29802,-22013,16016>, v=<2,6,-48>, a=<1,0,0>
p=<17527,37287,42983>, v=<26,-43,-6>, a=<2,2,-4>
p=<32449,21011,-31292>, v=<-17,-15,38>, a=<-5,4,0>
p=<27064,38641,22334>, v=<-10,40,22>, a=<4,4,-1>
p=<22632,42453,-4366>, v=<19,-32,21>, a=<-5,-1,2>
p=<-15910,36222,28410>, v=<-16,33,-38>, a=<-2,4,-2>
p=<34468,-27969,19557>, v=<-1,-15,-46>, a=<1,1,-5>
p=<-35865,20316,-22581>, v=<-27,41,5>, a=<0,0,-2>
p=<15388,39515,-42597>, v=<-43,-36,-37>, a=<-3,0,1>
p=<-25466,43878,43895>, v=<22,19,26>, a=<-2,2,1>
p=<-33154,-27800,31183>, v=<31,-22,-12>, a=<-1,4,4>
p=<-44080,14675,773>, v=<7,-18,-9>, a=<-3,-1,-3>
p=<-2197,31983,-45741>, v=<17,-4,-26>, a=<1,-5,2>
